"Animal.ID","Animal.Name","Species","Gender","Date.Of.Birth","Primary.Breed","Secondary.Breed","Declawed","Distinguishing.Markings","Purebred","BodyWeight","BodyWeightUnit","PrimaryColor","SecondaryColor","ColorPattern","Intake.Date","Intake.Type","Intake.Subtype","Reason","Reason.Category"
10968600,"Maxwell the 2nd","Cat","M","5/20/2010","Domestic Shorthair","Mix","None","",0,1.9,"pound","Grey","White",NA,"07/15/2010 14:13:00","Owner/Guardian Surrender","Walk In","Abandoned","Misc other"
11186039,"Ozzy","Cat","M","4/9/2010","Domestic Shorthair","Mix","Front","named after a star - &quot;butting head&quot; Taurus constellation",0,10.5,"pound","Black",NA,NA,"08/07/2010 10:37:00","Owner/Guardian Surrender","Walk In","Feral","Misc other"
11242598,"Donald","Cat","M","6/28/2010","Domestic Shorthair","Mix","None","",0,1.9,"pound","Orange",NA,"Tiger","08/15/2010 16:10:00","Owner/Guardian Surrender","Walk In","Landlord Does Not Allow","Owner problem"
11334854,"Maurice","Cat","M","8/28/2009","Domestic Shorthair","Mix","Front","I am a Personal Assistant",0,10,"pound","Orange",NA,"Tiger","08/28/2010 10:29:00","Owner/Guardian Surrender","Walk In","Owner Problems","Owner problem"
11481856,"Opie","Cat","M","3/23/2010","Domestic Shorthair","Mix","None","Orange spot on left cheek",0,8,"pound","Orange","White",NA,"09/19/2010 13:03:00","Owner/Guardian Surrender","Schedule","Problem With Children","Owner problem"
1108500,"Ziggy","Cat","M","4/8/2005","Domestic Shorthair","Mix","Front","",0,12,"pound","Grey",NA,"Tiger","10/06/2010 14:39:00","Owner/Guardian Surrender","Schedule","Allergic to Pet","Owner problem"
11716058,"Princess","Cat","F","10/21/2005","Domestic Shorthair","Mix","Front","Black spot on snout",0,13.25,"pound","Brown","White","Calico","10/21/2010 12:34:00","Owner/Guardian Surrender","Schedule","Allergic to Pet","Owner problem"
11835354,"Oliver","Cat","M","11/8/2008","Domestic Shorthair","Mix","Front","",0,11.75,"pound","Orange","Cream","Tiger","11/08/2010 10:45:00","Owner/Guardian Surrender","Schedule","Allergic to Pet","Owner problem"
11933703,"Pumpkin","Cat","F","11/26/2008","Domestic Longhair","Mix","Front","I am a private investigator.",0,6.25,"pound","Orange","White",NA,"11/26/2010 11:57:32","Stray","Scheduled","",NA
12000570,"Geliath","Cat","M","12/7/2009","Domestic Shorthair","Mix","None","I am an executive with a white mark under my chin.",0,12,"pound","Grey","White","Tiger","12/07/2010 09:36:00","Owner/Guardian Surrender","Schedule","Moving","Owner problem"
12071678,"Ki-Ki","Cat","M","12/20/2006","Domestic Shorthair","Mix","Front","",0,11.25,"pound","White",NA,NA,"12/20/2010 12:57:00","Owner/Guardian Surrender","Walk In","Owner Problems","Owner problem"
11918509,"Emmy","Cat","F","1/21/2010","Domestic Shorthair","Mix","None","",0,3.25,"pound","Grey","White",NA,"12/22/2010 15:02:37","Return","Walk In","Illness of Pet","Misc other"
12394908,"Hannah","Cat","F","2/13/2006","Domestic Longhair","Mix","Front","",0,12.5,"pound","Grey","Buff","Tortoiseshell","02/14/2011 12:36:00","Owner/Guardian Surrender","Schedule","Allergic to Pet","Owner problem"
12688265,"Molly","Cat","F","3/16/2003","Domestic Shorthair","Mix","Front","I am a Private Investigator",0,NA,NA,"Grey",NA,NA,"03/16/2011 13:39:00","Owner/Guardian Surrender","Walk In","Allergic to Pet","Owner problem"
12644308,"Scamp","Cat","M","3/9/2010","Domestic Shorthair","Mix","Front","",0,11,"pound","Brown","Black","Tiger","03/20/2011 10:16:04","Return","Walk In","Allergic to Pet","Owner problem"
13229431,"Beaner","Cat","F","6/1/2009","Domestic Longhair","","Front","",-1,11.75,"pound","Grey","White",NA,"06/01/2011 11:12:00","Owner/Guardian Surrender","Schedule","Allergic to Pet","Owner problem"
13358854,"Freddy","Cat","M","6/18/2006","Domestic Shorthair","Mix","Front","",0,16.5,"pound","Black","White",NA,"06/16/2011 16:43:00","Owner/Guardian Surrender","Walk In","Moving","Owner problem"
